id,height_avg,wed_h_by_PTS_avg,wed_h_by_orb_drb_sum_avg,wed_h_by_AST_avg,wed_h_by_BLK_avg
1974,1.9819023041474642,1.973043424185808,2.0056994308912235,1.9565998987893638,2.027584552209622
1975,1.9810971659919012,1.9756415948781558,2.0101138288853475,1.9578598237978984,2.0282635670731692
1976,1.9864233870967711,1.9839165903998486,2.0152372067293616,1.967034242038216,2.0352152464788733
1977,1.9832382716049348,1.9823845019963569,2.0172986964861255,1.9567187973883746,2.040826971590239
1978,1.9839895953757194,1.9840965049796606,2.0199979674080035,1.9553532302178644,2.04141474946273
1979,1.9873674121405733,1.9835374870126543,2.0211936347732467,1.95932039873004,2.0413097883897264
1980,1.9880920731707303,1.9873453206044565,2.021966553858428,1.9641394837583126,2.0399009406422306
1981,1.9879191860465129,1.988499566074089,2.0230594001677296,1.9600573662674863,2.0436035562513983
1982,1.9948932960893857,1.989897546402238,2.0245887666798343,1.9588152054063672,2.0472499331069254
1983,2.003908152173913,1.9936880783092976,2.027438253891051,1.9624140799130199,2.056303560771833
1984,1.994245317220543,1.9915473421647667,2.026312568501146,1.9566060435394794,2.054210711071106
1985,1.998729577464787,1.9941248687110111,2.028367744991879,1.9585547930161162,2.0579501704233096
1986,2.00390081743869,1.9973512132433016,2.0333149706366296,1.9590708748419154,2.0751811367196256
1987,2.0028709141274206,2.0009038429900343,2.0344152333101726,1.9610042191841701,2.067092546174143
1988,2.000484029484027,2.001331391609803,2.036645775340925,1.953324789566772,2.0676233969155846
1989,2.0010966666666667,1.9981696073597832,2.0295644950058134,1.9516833262997977,2.0652542052469145
1990,1.997924044943821,1.9951274392855964,2.02528351489889,1.9445842615294813,2.0598594897564753
1991,2.0011145539906092,1.9928110236078722,2.0297562982509705,1.9464646720414056,2.057411475557967
1992,1.99084629213483,1.9893042408888433,2.02447187402557,1.9422527994009025,2.053426651216688
1993,2.0018153488372104,1.989896278858193,2.0211372291352583,1.9434367573872489,2.0466414727540494
1994,2.0063262931034487,1.9925381831277575,2.0261161009148885,1.9488301594157367,2.050752535811072
1995,1.9971258581235707,1.996348262606395,2.031073940223591,1.948160587828774,2.0572223776223777
1996,2.000965988909423,1.9951230294588478,2.0287203634388438,1.9487920285988691,2.0601578561537837
1997,2.002059469026542,1.9967569533747909,2.030797322667205,1.951464944439169,2.0638295961002773
1998,1.9957806215722067,1.9957651488676738,2.0261539062732465,1.9492207119029283,2.0584971371170284
1999,1.9993574297188754,1.9974933702603022,2.0270753553936203,1.9501011001658706,2.0562242861436735
2000,2.002619793814434,1.998671559344004,2.0273257612679942,1.9573351457146764,2.0576025627240155
2001,2.0019197696737034,1.9993578632840783,2.0279718904511728,1.9572473472500247,2.0599296999188987
2002,2.0013430327868877,2.0007381475148556,2.0300559767992623,1.9592005277349744,2.0590645427533856
2003,2.0070822784810156,2.0056954318765845,2.0332016965014645,1.9697815865317725,2.065499311294767
2004,2.0095493934142077,2.0043222606822955,2.0334293745760412,1.9672153290258287,2.064424409751597
2005,2.005455459272092,1.9996889154875386,2.0307860260350754,1.9594484231801226,2.0620241765374003
2006,2.005876868327399,1.9994815177633796,2.031934092960289,1.9628174498880213,2.0609009875702373
2007,2.003412741312741,1.9970287147855994,2.0293644636206913,1.9599080616881952,2.0577355141844005
2008,2.00377308970099,2.002739819970057,2.032137236691092,1.9648341465929018,2.0574985743703476
2009,2.006991438356158,2.001503547324335,2.031565394884007,1.9633140942658187,2.056951895904845
2010,2.005984775086499,2.004175487335726,2.0343336314406164,1.9651919976122723,2.058457770347292
2011,2.0101939586645363,2.001794029291604,2.0332587386364604,1.9603971418398396,2.0562790522028895
2012,2.005511428571423,2.001354239205272,2.033932017794512,1.961649617255044,2.0560501848428836
2013,2.005196200345415,2.000321902296993,2.0338016289690395,1.9640702575477942,2.055255388975908
2014,2.004747487844398,2.0019847641399093,2.034297036966385,1.9666634277776829,2.0566845070422537
2015,2.0019331325301066,2.0005009233787563,2.034072582988157,1.9643678442201495,2.057627975964099
2016,2.001902739726019,2.0018963066957007,2.033083688729844,1.9677512853664667,2.0550558089033646
2017,2.0084173044925033,2.003827771123579,2.0346962082061064,1.9733360934077724,2.054867101584344
